VIOLENT_CRIME_FLAG;REPORTING_AREA_ENCODED;OFFENSE_CODE_GROUP_ENCODED;DAY_OF_WEEK_ENCODED;COUNT_CRIMES_ENCODED
1;575;14;4;0
0;618;47;5;0
0;777;4;0;0
1;368;61;5;1
1;55;66;0;0
0;366;46;3;1
0;198;52;3;2
1;153;15;6;0
0;854;62;6;0
1;553;63;1;0
0;356;32;1;2
1;745;0;4;1
1;75;31;2;10
0;255;22;4;0
0;862;51;6;1
1;392;0;2;3
0;331;40;3;0
1;198;63;6;1
0;820;21;6;0
0;493;32;6;0
1;548;31;2;0
1;230;43;5;3
1;822;31;4;0
1;853;35;1;0
0;825;34;0;2
1;98;57;2;0
0;256;40;1;2
0;234;40;1;2
0;798;34;0;4
1;619;53;1;0
0;662;52;4;0
1;516;31;3;1
1;334;0;0;2
0;299;52;3;3
1;439;64;1;4
1;797;43;6;2
0;818;21;2;0
1;522;42;4;1
0;530;4;2;0
0;575;37;1;0
0;207;62;2;0
1;80;0;6;4
1;208;61;4;6
0;368;32;0;2
1;813;66;0;0
1;763;35;4;1
0;405;32;0;0
1;15;27;3;0
0;735;51;2;0
0;412;40;3;1
1;401;0;0;1
0;157;46;6;1
1;160;55;5;0
1;750;58;3;0
0;769;59;5;4
1;498;27;5;0
0;300;40;6;0
0;251;4;1;2
0;203;34;4;5
0;535;40;1;1
1;259;63;4;0
1;211;27;3;1
1;99;55;0;0
0;226;21;0;1
0;522;62;5;1
0;43;62;2;2
0;780;19;2;0
1;539;63;3;0
1;63;65;6;1
0;257;52;6;1
0;307;62;2;0
0;781;52;2;0
0;469;56;4;0
1;413;41;5;1
0;429;40;4;0
1;645;61;4;0
0;719;46;1;0
1;727;54;4;1
1;823;58;5;1
0;340;32;2;0
1;841;14;2;0
1;258;42;3;0
0;510;40;0;4
1;273;15;3;2
1;249;61;1;0
1;405;27;4;0
1;341;43;6;0
0;252;34;6;0
1;511;53;4;1
0;792;51;0;0
0;587;32;1;1
0;530;4;0;1
0;300;47;5;0
0;270;32;2;0
1;1;31;1;0
0;170;32;6;0
1;748;65;4;0
1;265;49;4;1
1;777;43;4;6
0;628;22;5;0
1;446;35;5;0
1;647;42;3;0
1;593;58;0;0
1;432;0;0;0
0;133;62;4;6
0;420;22;1;2
1;535;64;1;0
1;282;43;1;2
0;860;5;6;0
1;824;6;6;1
0;548;32;1;0
0;751;62;1;0
0;17;46;6;0
1;127;0;4;0
1;124;43;6;3
1;773;31;0;0
1;200;27;0;1
1;104;58;4;1
1;725;35;6;0
0;596;22;5;0
0;154;11;1;1
1;575;63;2;3
0;761;62;6;1
0;183;34;1;0
1;273;41;3;0
0;805;62;5;0
0;163;46;2;0
1;221;33;6;0
0;160;34;1;1
1;351;66;2;1
1;165;64;1;2
1;372;57;5;0
0;513;52;1;0
0;468;11;0;0
0;557;10;0;0
0;246;46;0;1
0;207;32;5;1
0;737;17;5;0
1;143;35;3;0
1;84;63;5;0
1;373;43;0;8
1;195;0;3;0
1;9;43;1;0
1;153;0;2;2
1;806;63;6;0
1;427;45;2;0
1;530;66;1;1
1;420;63;6;1
1;346;6;2;0
0;581;52;6;2
1;339;35;2;0
1;799;54;4;1
0;779;62;1;0
0;170;52;4;0
1;532;35;0;8
0;33;52;5;1
0;401;32;1;1
0;722;52;1;0
1;314;61;3;0
0;768;56;4;2
0;231;34;4;1
0;199;40;5;5
0;113;46;3;0
0;194;38;5;3
0;34;46;6;1
1;438;55;2;0
0;713;40;1;0
0;777;32;3;0
0;434;22;1;0
1;368;64;3;0
1;205;35;1;0
0;82;40;1;1
0;609;51;3;0
1;736;63;4;0
0;355;32;3;2
1;231;15;6;3
0;90;32;5;0
1;63;41;2;1
1;402;31;3;5
0;256;32;3;1
0;395;21;0;0
1;487;66;3;0
1;279;31;4;4
0;715;34;0;0
0;301;62;0;0
1;760;63;2;0
0;333;62;6;1
0;86;40;4;17
1;387;43;1;4
1;489;43;0;3
0;65;46;4;3
1;208;14;3;0
1;394;65;1;0
1;246;0;6;0
0;214;11;5;1
0;414;36;4;0
1;767;66;5;0
1;15;64;0;0
1;96;20;6;0
0;51;56;5;1
0;15;40;4;2
0;249;19;0;0
1;373;63;3;1
1;179;45;4;0
0;412;52;6;1
0;573;16;4;0
0;314;22;6;0
0;422;32;0;1
0;387;21;6;0
0;191;11;3;1
1;169;61;2;0
0;211;59;0;0
1;795;31;4;0
1;823;41;3;1
0;777;46;1;1
0;372;56;5;1
1;250;44;1;1
0;149;62;4;2
0;641;32;1;1
1;59;43;2;0
1;217;6;6;0
0;155;32;5;0
0;500;51;6;0
0;385;46;2;5
0;837;34;6;0
0;403;19;1;1
1;566;31;4;6
0;274;62;6;1
0;202;52;2;0
1;321;64;5;1
0;26;22;6;0
1;470;31;5;0
1;265;31;1;0
1;747;63;1;1
1;372;45;3;0
1;774;61;5;0
0;154;34;1;1
0;640;22;6;0
1;527;35;0;2
0;823;21;5;1
1;767;15;2;6
1;497;43;2;1
0;522;40;0;17
0;578;52;3;1
1;527;55;5;0
0;383;40;0;2
1;534;61;3;0
1;24;35;6;4
0;100;37;4;0
1;469;63;0;0
1;290;43;3;6
1;411;35;0;0
0;277;12;4;0
0;370;5;2;0
1;291;43;5;1
0;563;40;6;3
0;355;46;1;0
0;227;19;1;2
1;67;65;1;2
1;680;43;5;2
1;181;43;5;0
1;590;61;5;1
1;257;66;2;1
1;531;35;6;0
1;351;58;5;1
1;362;55;1;0
1;76;63;4;0
0;47;11;2;0
1;522;31;5;0
1;444;57;0;0
1;850;31;1;0
1;585;43;1;1
1;19;66;6;9
0;731;40;6;1
0;407;34;0;1
1;401;3;1;0
0;764;62;3;3
1;407;64;2;5
0;606;62;1;3
1;160;64;5;0
0;741;11;3;0
0;628;46;4;1
1;265;57;4;1
0;36;46;5;0
1;766;63;3;5
0;458;4;4;0
0;835;40;0;0
0;741;37;1;2
1;632;64;3;0
1;19;55;1;0
0;824;34;1;0
1;199;64;0;0
1;718;63;2;1
1;277;15;5;4
0;581;52;0;1
0;198;51;2;4
1;641;33;3;0
0;467;32;5;1
0;555;34;1;2
1;798;35;5;1
1;454;0;4;0
1;859;0;2;0
0;563;34;0;3
0;786;32;4;0
1;155;0;3;1
0;521;22;5;0
1;662;63;5;0
1;56;27;0;0
0;50;62;2;3
0;18;56;3;0
1;235;42;5;0
0;549;52;4;2
0;112;22;3;1
0;185;5;2;0
0;602;46;1;2
1;768;35;0;2
0;584;4;4;0
1;769;43;3;1
0;265;56;4;0
1;119;49;2;1
1;343;45;6;0
1;717;43;1;1
1;394;42;1;5
1;279;50;3;0
0;411;34;1;0
1;743;31;5;1
1;173;65;0;2
0;545;16;2;0
0;424;46;5;0
0;174;37;2;0
1;94;27;4;3
1;338;31;5;0
1;399;61;6;0
1;135;14;1;0
1;456;42;2;0
1;175;65;2;0
1;157;0;4;0
1;249;42;4;1
1;402;58;2;1
0;75;11;2;0
0;172;34;6;2
1;741;63;6;1
1;790;14;6;0
0;341;4;0;0
1;365;14;0;0
1;271;27;2;2
0;43;62;5;3
1;203;41;5;0
1;799;55;6;0
0;776;62;1;3
1;763;43;3;3
1;811;27;4;2
1;291;43;6;3
0;308;28;5;0
0;768;4;3;2
0;291;62;4;2
1;324;31;1;0
1;742;61;4;1
1;275;61;3;0
0;214;32;4;1
1;4;14;5;5
1;282;35;2;0
1;4;61;3;9
1;501;64;6;0
1;223;58;2;0
0;575;46;6;2
1;412;31;6;0
1;832;43;0;1
0;754;32;3;0
0;288;46;4;2
0;155;52;4;2
0;222;62;0;1
0;440;4;4;0
1;723;41;0;0
1;391;57;4;1
1;403;27;2;0
0;465;46;0;2
0;187;52;4;1
0;668;34;6;0
0;825;22;5;0
1;387;15;1;4
0;161;52;4;0
1;96;41;1;0
1;359;27;0;0
0;11;56;5;0
1;234;33;6;0
1;442;63;0;3
1;600;63;5;0
1;68;64;4;1
1;327;41;6;0
1;460;31;5;1
0;750;34;0;3
0;332;34;4;1
0;717;46;2;2
0;226;11;5;1
1;216;63;0;1
1;271;49;4;1
1;63;35;2;1
0;81;40;4;2
1;864;63;1;0
1;221;31;1;1
1;259;27;3;2
1;75;61;0;6
1;133;15;1;1
0;414;62;0;0
0;693;32;6;0
0;181;46;2;1
0;28;32;3;1
0;79;22;6;4
1;124;35;2;0
0;231;46;2;1
0;528;34;0;2
1;31;42;2;0
0;400;40;5;5
0;780;60;2;0
1;736;41;3;0
1;96;43;3;18
0;404;40;3;5
1;492;63;3;0
1;396;31;1;1
1;241;27;1;0
1;321;20;1;0
1;202;61;1;0
0;857;12;5;0
0;302;4;1;0
0;534;56;1;0
1;543;15;2;5
1;444;27;3;0
0;192;46;5;1
1;444;42;4;0
1;502;64;5;1
0;267;56;5;1
0;542;52;0;0
1;868;43;3;0
1;749;43;2;3
0;6;34;3;6
1;166;63;4;0
0;136;52;0;0
0;51;34;5;3
1;360;15;6;0
0;23;40;4;16
1;714;27;1;0
0;650;40;3;0
0;292;4;2;1
1;255;27;6;1
0;384;52;6;0
1;244;61;1;4
1;804;31;2;0
1;275;61;0;0
1;198;31;0;10
0;639;40;5;4
1;423;31;4;0
1;216;35;5;2
0;111;62;2;1
1;173;61;5;4
1;274;55;6;0
0;745;40;3;4
1;323;53;5;0
1;167;63;6;0
1;166;61;5;0
1;573;0;6;1
1;63;15;6;4
1;761;31;1;0
1;360;35;2;2
1;522;49;4;0
0;363;46;5;8
0;100;40;5;1
1;507;63;3;0
1;360;33;3;0
1;404;61;5;4
1;656;43;0;2
1;761;27;5;0
0;789;34;3;2
1;42;63;6;1
0;583;12;0;0
0;535;51;1;0
1;110;43;4;0
0;136;59;0;0
0;536;34;6;2
0;209;56;0;0
0;588;34;4;0
1;362;66;3;1
